Muestras,TDSmax,Co2max,Alcoholmax,Phmax,Temp1max,Temp2max,TDSmaxd,Co2maxd,Alcoholmaxd,Phmaxd,Temp1maxd,Temp2maxd,TDSmin,Co2min,Alcoholmin,Phmin,Temp1min,Temp2min,TDSmind,Co2mind,Alcoholmind,Phmind,Temp1mind,Temp2mind,TDSdif,Co2dif,Alcoholdif,Phdif,Temp1dif,Temp2dif,TDSdifd,Co2difd,Alcoholdifd,Phdifd,Temp1difd,Temp2difd,TDSa,Co2a,Alcohola,Pha,Temp1a,Temp2a,TDSad,Co2ad,Alcoholad,Phad,Temp1ad,Temp2ad,TDSd,Co2d,Alcohold,Phd,Temp1d,Temp2d,TDSdd,Co2dd,Alcoholdd,Phdd,Temp1dd,Temp2dd,TDSv,Co2v,Alcoholv,Phv,Temp1v,Temp2v,TDSvd,Co2vd,Alcoholvd,Phvd,Temp1vd,Temp2vd,TDSmo,Co2mo,Alcoholmo,Phmo,Temp1mo,Temp2mo,Phmod,TDSme,Co2me,Alcoholme,Phme,Temp1me,Temp2me,TDSi,Co2i,Alcoholi,Phi,Temp1i,Temp2i,TDSf,Co2f,Alcoholf,Phf,Temp1f,Temp2f,TDSfd,Co2fd,Alcoholfd,Phfd,Temp1fd,Temp2fd,OUTPUT,aroma,Sabor,residual,Acidez,Cuerpo,Balance,Pcatador
1438,515,135,664,552,23.24,26.25,31,8,23,47,0.05,0.1,49,14,154,0,20.85,22.94,-95,-6,-3,-49,-0.05,-0.1,466,121,510,552,2.39,3.31,126,14,26,96,0.1,0.2,367.7533009,110.0917304,565.3766505,319.1646977,22.00696317,24.46903405,0.311327311,0.072272411,0.354412787,0.366921473,0.001660876,0.000701876,196.1794214,26.96144019,125.1917857,159.6434918,0.481560275,0.992459455,4.15958813,1.569990581,0.978648794,5.376781683,0.011235577,0.019161692,38486.36538,726.919257,15672.98321,25486.04448,0.231900298,0.98497577,17.30217341,2.464870424,0.957753462,28.90978127,0.000126238,0.00036717,504,125,659,452,22.14,25.64,0,496,125,628,339,22.07,24.28,62,16,154,2,20.85,23.19,510,120,664,530,23.24,24.2,0,-2,0,-1,0.02,0,80.55,7.2,7.15,7.25,7.2,7.2,7.25,7.3
1422,531,126,650,518,22.62,25.58,27,3,34,50,0.05,0.11,92,20,219,0,20.52,22.48,-63,-3,-3,-50,-0.04,-0.05,439,106,431,518,2.1,3.1,90,6,37,100,0.09,0.16,386.2326072,84.27406887,554.661279,300.4624034,21.98282502,23.84854533,0.274771609,0.073085032,0.301475755,0.363316936,0.001475755,0.000309206,164.3543606,24.36667725,112.2692938,145.717184,0.462907435,1.003684383,3.978808519,0.80452271,1.186440889,4.621782733,0.01207399,0.013084813,27012.35584,593.73496,12604.39433,21233.49771,0.214283294,1.007382341,15.83091723,0.647256791,1.407641984,21.36087563,0.000145781,0.000171212,479,105,640,245,21.97,22.5,1,481,89,614,309,22.14,23.65,110,20,219,0,20.52,22.52,501,124,648,517,22.62,22.96,3,-1,0,1,0,0.02,81.05,7.2,7.2,7.25,7.2,7.3,7.5,7.4
1447,514,112,650,531,22.78,24.98,20,2,34,41,0.07,0.07,86,20,220,2,20.66,22.5,-21,-2,-3,-37,-0.07,-0.05,428,92,430,529,2.12,2.48,41,4,37,78,0.14,0.12,381.5245335,85.60608155,556.5231513,301.4671735,21.9049067,23.64949551,0.281271596,0.06357982,0.297857636,0.359364202,0.0014651,0.000663442,172.9332031,23.08187164,111.6587649,139.0345047,0.430553507,0.724320033,2.798008883,0.691856732,1.17800948,5.50764153,0.015885438,0.012914312,29905.89272,532.7727984,12467.67979,19330.59349,0.185376323,0.52463951,7.828853707,0.478665738,1.387706334,30.33411522,0.000252347,0.000166779,499,104,640,396,22.2,23.25,0,491,94,615,327,22.01,23.67,102,20,220,4,20.66,23.63,507,112,650,521,22.75,24.59,2,0,0,0,0,0,81.4,7.2,7.2,7.5,7.2,7.4,7.5,7.4
1481,531,105,613,549,22.98,25.42,21,2,3,41,0.05,0.06,104,18,314,37,21.44,22.8,-76,-3,-2,-43,-0.05,-0.05,427,87,299,512,1.54,2.62,97,5,5,84,0.1,0.11,413.0526316,83.00944669,544.8569501,307.6916329,22.31686235,23.96330634,0.240890688,0.056680162,0.200404858,0.344129555,0.001018893,0.000951417,148.6207712,21.46601774,97.63828876,119.5155427,0.353871908,0.752106113,3.700922565,0.717881414,0.666290565,6.404151987,0.014283743,0.014707559,22088.13362,460.7899175,9533.235431,14283.96494,0.125225327,0.565663605,13.69682784,0.515353725,0.443943118,41.01316268,0.000204025,0.000216312,489,97,612,380,22.5,23.18,1,488,95,607,335,22.4,23.82,121,19,314,38,21.44,23.73,478,103,611,548,22.95,25.14,-5,0,0,-1,-0.01,-0.01,81.7,7.2,7.25,7.5,7.25,7.5,7.5,7.5
2806,523,151,695,839,23.08,26.14,15,5,80,41,0.07,0.18,8,14,77,13,19.05,21.18,-14,-4,-3,-36,-0.07,-0.14,515,137,618,826,4.03,4.96,29,9,83,77,0.14,0.32,417.3031706,92.79943,618.6726042,413.6348415,21.89051657,23.34781617,0.169219808,0.040256502,0.210545066,0.281083007,0.001147132,0.001132882,183.7862469,30.10291257,120.3115997,211.9922996,0.786685884,1.667265412,1.58424853,1.182018252,1.799913662,4.154243917,0.01638918,0.016916606,33777.38453,906.1853454,14474.88101,44940.73511,0.61887468,2.779773953,2.509843404,1.397167147,3.23968919,17.25774252,0.000268605,0.000286172,506,93,690,361,21.61,21.29,0,504,96,677,365,21.86,22.99,33,14,77,13,19.05,21.37,508,127,668,802,22.27,24.55,1,0,0,-2,0.03,-0.02,82.25,7.25,7.35,7.65,7.5,7.5,7.5,7.5
2877,526,145,692,929,22.99,27.12,17,6,70,34,0.06,0.05,25,16,86,0,19.26,22.6,-14,-6,-4,-43,-0.05,-0.04,501,129,606,929,3.73,4.52,31,12,74,77,0.11,0.09,426.6820709,102.194927,619.0319666,431.8766505,21.31115358,24.05314802,0.166087561,0.042043085,0.201876303,0.321751216,0.001250869,0.000656706,161.5342521,30.31341124,118.3632865,229.9849077,0.945970025,1.048297605,1.700008193,1.198700604,1.600498474,4.247064797,0.014936977,0.010913424,26093.3146,918.9029009,14009.86759,52893.05777,0.894859287,1.098927869,2.890027857,1.436883138,2.561595366,18.03755939,0.000223113,0.000119103,496,118,689,0,20.11,23.01,0,495,111,676,458,21.29,23.87,46,16,86,0,19.26,25.1,524,137,667,926,22.86,26.99,0,0,0,0,0,0,82.4,7.3,7.4,7.7,7.5,7.5,7.5,7.5
2936,524,154,660,727,22.62,24.64,18,5,13,40,0.07,0.05,71,47,112,3,19.36,21.44,-23,-5,-4,-38,-0.06,-0.06,453,107,548,724,3.26,3.2,41,10,17,78,0.13,0.11,431.4344569,111.3939394,568.773919,483.5097038,21.56099762,22.74482806,0.145726932,0.024174328,0.185223017,0.235614573,0.001109976,0.000439224,159.5321323,26.7798524,120.9801168,192.6328958,0.68901397,0.743373482,2.036588755,1.125515871,0.908864661,3.776493818,0.011616333,0.01216,25450.50124,717.1604946,14636.18865,37107.43255,0.474740251,0.552604134,4.147693758,1.266785975,0.826034972,14.26190556,0.000134939,0.000147866,506,119,621,565,22.41,22.75,0,505,119,623,543,21.61,22.76,96,47,112,3,19.36,22.51,524,118,656,695,22.62,23.8,0,0,0,-1,0,-0.02,82.75,7.4,7.45,7.7,7.5,7.5,7.5,7.7
2835,514,150,674,760,21.38,26.04,16,5,58,44,0.05,0.08,31,43,93,0,18.23,21.15,-24,-5,-3,-38,-0.04,-0.08,483,107,581,760,3.15,4.89,40,10,61,82,0.09,0.16,402.4425247,102.756347,599.157969,435.038787,20.48489774,22.89331453,0.162905501,0.027856135,0.19887165,0.259520451,0.00096615,0.00104725,163.7588924,27.58870661,119.24068,208.8175492,0.633860674,1.036691462,1.50750476,1.389149101,1.377808037,3.923743711,0.011740173,0.017299006,26816.97483,761.1367322,14218.33976,43604.76887,0.401779355,1.074729186,2.272570603,1.929735226,1.898354987,15.39576471,0.000137832,0.000299256,488,121,668,349,20.53,23.32,0,478,110,661,444,20.49,22.84,51,43,93,22,18.24,23.04,513,122,657,758,20.98,26.01,0,0,0,1,0.01,0,83,7.5,7.5,7.75,7.5,7.5,7.5,7.75
4299,516,148,705,924,23.77,26.52,25,8,92,42,0.05,0.05,17,14,69,0,19.4,21.82,-6,-5,-6,-45,-0.05,-0.04,499,134,636,924,4.37,4.7,31,13,98,87,0.1,0.09,430.4438241,103.1281693,638.6645732,562.5773436,22.18019772,23.79475692,0.109792975,0.008839265,0.134915097,0.176320074,0.000804838,0.000314027,140.1821633,28.1269325,98.29521057,263.4618287,0.963572118,1.137805683,1.695954848,1.111267236,1.682565268,4.152467335,0.014204641,0.010395574,19651.0389,791.1243319,9661.948421,69412.13519,0.928471227,1.294601773,2.876262847,1.234914869,2.831025883,17.24298497,0.000201772,0.000108068,484,123,667,790,21.75,23.96,0,483,108,666,577,22.19,23.71,29,14,69,13,19.4,23.12,499,52,646,772,22.86,24.44,0,0,0,2,0.01,0,83.1,7.75,7.75,7.5,7.55,7.55,7.5,7.5
4325,520,145,684,914,23.56,24.44,11,3,69,39,0.09,0.12,38,21,87,0,19.26,19.81,-5,-3,-4,-30,-0.09,-0.13,482,124,597,914,4.3,4.63,16,6,73,69,0.18,0.25,445.7387283,105.2899422,622.9715607,557.7588439,22.18070289,22.17319769,0.098959538,0.009942197,0.126936416,0.193294798,0.000679769,0.000106358,124.6504259,29.22095327,98.41896734,255.0646893,0.806635534,1.156383409,1.335632537,0.584761091,1.371821607,2.056015156,0.018895261,0.026081381,15537.72867,853.8641102,9686.293132,65057.99572,0.650660884,1.337222589,1.783914273,0.341945533,1.881894521,4.227198323,0.000357031,0.000680238,499,139,679,802,21.77,23.09,0,487,110,659,598,22.21,22.28,55,21,87,3,19.26,22.87,484,64,634,838,22.2,23.31,1,0,-1,-1,-0.04,0,83.2,7.75,7.75,7.4,7.6,7.6,7.55,7.55
