,TDSa,Muestras,Pha,Phme,Phmax,Phf,Phdif,Alcohola,TDSmind,Phv,Phd,Co2fd,Co2max,Co2d,Phmo,Co2dif,Co2v,Alcoholdifd,Temp1dif,Temp1maxd,Alcoholmax,Alcoholmaxd,Temp1max,Temp1difd,Temp2a,Temp2f,TDSf,Temp2ad,Temp2min,Alcoholf,TDSvd,TDSdifd,Co2f,TDSdd,Alcoholv,Alcohold,TDSmaxd,Phad,TDSv,TDSd,Co2ad,TDSad,Temp1ad,Alcoholad,Cuerpo
0,367.7533009,1438,319.1646977,339,552,530,552,565.3766505,-95,25486.04448,159.6434918,-2,135,26.96144019,452,121,726.919257,26,2.39,0.05,664,23,23.24,0.1,24.46903405,24.2,510,0.000701876,22.94,664,17.30217341,126,120,4.15958813,15672.98321,125.1917857,31,0.366921473,38486.36538,196.1794214,0.072272411,0.311327311,0.001660876,0.354412787,7.2
1,386.2326072,1422,300.4624034,309,518,517,518,554.661279,-63,21233.49771,145.717184,-1,126,24.36667725,245,106,593.73496,37,2.1,0.05,650,34,22.62,0.09,23.84854533,22.96,501,0.000309206,22.48,648,15.83091723,90,124,3.978808519,12604.39433,112.2692938,27,0.363316936,27012.35584,164.3543606,0.073085032,0.274771609,0.001475755,0.301475755,7.3
2,381.5245335,1447,301.4671735,327,531,521,529,556.5231513,-21,19330.59349,139.0345047,0,112,23.08187164,396,92,532.7727984,37,2.12,0.07,650,34,22.78,0.14,23.64949551,24.59,507,0.000663442,22.5,650,7.828853707,41,112,2.798008883,12467.67979,111.6587649,20,0.359364202,29905.89272,172.9332031,0.06357982,0.281271596,0.0014651,0.297857636,7.4
3,413.0526316,1481,307.6916329,335,549,548,512,544.8569501,-76,14283.96494,119.5155427,0,105,21.46601774,380,87,460.7899175,5,1.54,0.05,613,3,22.98,0.1,23.96330634,25.14,478,0.000951417,22.8,611,13.69682784,97,103,3.700922565,9533.235431,97.63828876,21,0.344129555,22088.13362,148.6207712,0.056680162,0.240890688,0.001018893,0.200404858,7.5
4,417.3031706,2806,413.6348415,365,839,802,826,618.6726042,-14,44940.73511,211.9922996,0,151,30.10291257,361,137,906.1853454,83,4.03,0.07,695,80,23.08,0.14,23.34781617,24.55,508,0.001132882,21.18,668,2.509843404,29,127,1.58424853,14474.88101,120.3115997,15,0.281083007,33777.38453,183.7862469,0.040256502,0.169219808,0.001147132,0.210545066,7.5
5,426.6820709,2877,431.8766505,458,929,926,929,619.0319666,-14,52893.05777,229.9849077,0,145,30.31341124,0,129,918.9029009,74,3.73,0.06,692,70,22.99,0.11,24.05314802,26.99,524,0.000656706,22.6,667,2.890027857,31,137,1.700008193,14009.86759,118.3632865,17,0.321751216,26093.3146,161.5342521,0.042043085,0.166087561,0.001250869,0.201876303,7.5
6,431.4344569,2936,483.5097038,543,727,695,724,568.773919,-23,37107.43255,192.6328958,0,154,26.7798524,565,107,717.1604946,17,3.26,0.07,660,13,22.62,0.13,22.74482806,23.8,524,0.000439224,21.44,656,4.147693758,41,118,2.036588755,14636.18865,120.9801168,18,0.235614573,25450.50124,159.5321323,0.024174328,0.145726932,0.001109976,0.185223017,7.5
7,402.4425247,2835,435.038787,444,760,758,760,599.157969,-24,43604.76887,208.8175492,0,150,27.58870661,349,107,761.1367322,61,3.15,0.05,674,58,21.38,0.09,22.89331453,26.01,513,0.00104725,21.15,657,2.272570603,40,122,1.50750476,14218.33976,119.24068,16,0.259520451,26816.97483,163.7588924,0.027856135,0.162905501,0.00096615,0.19887165,7.5
8,430.4438241,4299,562.5773436,577,924,772,924,638.6645732,-6,69412.13519,263.4618287,0,148,28.1269325,790,134,791.1243319,98,4.37,0.05,705,92,23.77,0.1,23.79475692,24.44,499,0.000314027,21.82,646,2.876262847,31,52,1.695954848,9661.948421,98.29521057,25,0.176320074,19651.0389,140.1821633,0.008839265,0.109792975,0.000804838,0.134915097,7.55
9,445.7387283,4325,557.7588439,598,914,838,914,622.9715607,-5,65057.99572,255.0646893,0,145,29.22095327,802,124,853.8641102,73,4.3,0.09,684,69,23.56,0.18,22.17319769,23.31,484,0.000106358,19.81,634,1.783914273,16,64,1.335632537,9686.293132,98.41896734,11,0.193294798,15537.72867,124.6504259,0.009942197,0.098959538,0.000679769,0.126936416,7.6
